职位编码,职位名称,工作地址,薪资范围,企业性质,公司全称,人员规模,所属行业,职位描述,公司简介
MIS-INF-0001,信息技术岗-白云数迁公司（子公司）,广州·白云·云城,9000-14000元,国企,广州白云城市发展集团有限公司,100-299人,土地与公共设施管理,一、岗位职责 1、负责公司整体信息技术战略规划、实施与运维，确保信息化系统与公司业务目标保持高度一致； 2、深入了解公司的业务需求，与各业务部门紧密合作，提供高效、稳定、安全、符合信创要求的信息化解决方案； 3、管理公司所有信息化项目，包括项目规划、需求分析、系统设计、开发与实施、测试验收以及上线运维等全生命周期管理，推动AI大模型在城市更新场景落地； 4、管理技术团队及外部合作单位，统筹AI大模型I训练资源； 5、制定和完善信息化管理制度和流程，提高信息化服务质量和效率，建立信息化系统和AI应用管理规范； 6、负责信息化预算的制定和控制，合理分配和使用信息化资源，确保公司信息化投入的效益最大化； 7、跟踪和研究信息化技术发展趋势和新技术应用，为公司的创新发展提供技术支持和决策依据，推动公司信息化建设不断创新和进步。  二、基本要求 1、拥有5年以上政府或城市更新类信息化项目管理经验，3年以上信息化团队管理经验； 2、精通智慧城市相关技术（GIS/BIM/IoT），能独立绘制技术架构图，了解AI大模型本地化部署和训练要求； 3、熟悉政府采购流程及智慧住建系统特点，对信创环境（国产CPU/OS/数据库/中间件）有实际适配经验； 4、具备较强的领导能力、良好的人际沟通和团队协调能力，较强责任心和工作执行能力； 5、拥有计算机/征拆现场管理/工程管理/地理信息交叉背景优先； 6、拥有PMP/信息系统项目管理师（高级）/人工智能相关证书优先； 7、有行业大模型（如政务问答、智能征拆、城市治理）落地案例优先。  三、专业条件 软件工程、空间信息与数字技术、数据科学与大数据技术、计算机科学与技术等相近或相关专业。 四、招聘程序 1、网上报名：每位应聘者可根据意愿投递1个岗位；    2、简历筛选和资格审核：根据招聘条件从学历、政治面貌、年龄、获奖情况、特长等维度对应聘者进行资格审查，将以短信、电话等形式通知通过筛选者参加后续招聘环节，未通过筛选者不再单独通知；    3、笔试、面试：笔试采用线下考试方式。根据招聘计划比例从高到低确定入围面试人员，具体面试安排以短信、电话等形式通知。最终根据招聘计划1:1的比例按面试成绩从高到低确定进入体检人员；    4、体检：进入体检人员在收到通知后一周内，自行到三甲医院进行健康体检，体检合格者确定为拟录用人员；    5、递补：在笔试、面试、体检、录用环节，有不合格或者弃权的情况，可在同一岗位按照成绩从高到低顺序依次递补其他应聘者。,广州白云城市发展有限公司是由白云区人民政府授权广州市白云区国有资产监督管理局直接履行出资人职责的国有独资企业。白云城发公司深入贯彻落实区委、区政府有关部署要求，定位为广州市白云区城中村改造项目投资...
OTH-OTH-0001,广州晚上没事干，想挣钱！就来歪马送酒+APP推广！兼职只送酒！0元入职！单多全城就近安排,广州·黄埔·黄埔街道,1.1-1.2万,股份制企业,成都歪马科技有限公司,1000-9999人,电子商务,全城就近分配！酒水门店急招全职/兼职，靠谱者来！！！全职店员｜专人带教，无经验可学工作：门店商品陈列、促销推广+酒水配送，事少事杂但有高回报薪资：月综合7000-12000，多劳多得兼职配送｜仅夜间岗，适配白天有工作的朋友 工作：纯酒水配送，电动车/摩托车均可 时长：每天5小时，薪资为全职一半左右 详情直接点我头像咨询，速来！！！！,歪马送酒是美团旗下的酒水即时零售品牌，经营品类涵盖啤酒、白酒、红酒、洋酒四大品类。通过与酒水品牌直接合作，严控供应链，自建配送体系，给前置仓配货，商家在小程序和外卖平台为用户提供平价、保真、平均...
MIS-INF-0002,信息化工程师,广州·白云·太和,1.2-1.5万,国企,广州白云科技股份有限公司,500-999人,石油/石化,岗位职责：1、参与公司的信息化建设，完成公司的信息化建设项目；2、协助对网管平台实时监控网络设备、服务器等各种设备，包括运行状态和性能，判断所发生问题的类型、严重程度，完成对设备信息和一般告警的处理；3、协助使用网管工具实施日常网络与系统监视工作作合理调整，包括路由调整、设备配置更新或恢复等；4、协助开展优化网络系统，规划调整设备配置等；5、协助提供系统资源利用信息，供用户参考并以此进行调整；6、预防网络故障，并制定网络受到攻击后的紧急处理措施；7、参与用友系统日常维护、技术支持；任职要求：1、硕士及以上学历，计算机、软件工程等IT相关专业；2、学习能力强，较好的沟通和协作能力，较强的执行力和沟通能力。,广州白云科技股份有限公司是一家有着三十多年从事有机硅尖端产品、各类建筑密封胶及高性能新材料的研究开发、生产及经营的专业公司。密封胶产品是“中国名牌产品”。公司是国内首批通过国家经贸委硅酮结构胶生产认...
MIS-INF-0003,信息化主管,广州·白云·景泰,1.2-1.4万,国企,广州神农现代农业有限公司,20-99人,农/林/牧/渔,岗位职责：1.结合医药新零售业务特点（如线上线下一体化、O2O 配送、医保对接、处方药管理等），主导企业 IT 系统的整体规划，包括电商平台、ERP 系统、CRM 系统、供应链管理系统、门店 POS 系统、数据分析平台等的选型、搭建与优化2.关注医药新零售行业动态与技术创新方向（如政策对线上售药的调整、新技术在医药场景的应用等），具备将行业信息转化为企业 IT 策略的能力。3.作为信息技术领域的对接人，与业务部门保持密切沟通，了解其信息化需求，提供技术支持与解决方案；协调公司内部资源（如预算、人力）及外部合作资源（如供应商、服务商），保障信息技术项目顺利推进；向公司管理层汇报信息技术工作进展、重大技术问题及解决方案，提供决策支持。任职要求：1本科及以上学历，计算机科学与技术、软件工程、信息管理等相关专业；5年以上信息技术领域工作经验，其中2年以上管理经验；若具备医药相关专业背景（如药学、医药管理）者优先；2.熟悉医药零售系统搭建、信息安全、运维等全流程工作，具备扎实的专业知识与实操能力； 3.熟悉零售行业主流 IT 系统架构（如线上线下一体化系统、OMS 订单管理系统、WMS 仓储管理系统等），了解医药行业特殊系统需求（如 GSP 合规管理系统、药品追溯系统等）4.有较强的创新意识与学习能力，能敏锐把握行业技术趋势，提出合理化技术方案； 5.具备较强的业务洞察力，能将业务需求转化为 IT 解决方案，推动技术与业务深度融合；同时具备优秀的项目管理能力，可统筹多项目并行推进，把控风险与进度,广州神农现代农业有限公司是广州医药集团有限公司下属的国有全资控股企业，成立于2025年7月24日，注册资本10亿元。公司主营业务：供应链管理服务;以自有资金从事投资活动;企业管理;生物饲料研发;智能农业管...
MIS-INF-0004,ITBP（养殖数字化）,广州·天河·天河南,1.5-2.5万,国企,广州越秀农牧食品科技有限公司,1000-9999人,农/林/牧/渔,岗位职责：1.负责内部生猪养殖、供应链相关的信息化系统的建设和推广2.担任运营大脑的ITBP，与业务部门紧密合作，提供生猪养殖及供应链环节的数字化解决方案解决业务痛点3.负责内部系统的业务流程优化、数据分析和效率分析，推动应用AI工具。4.负责养殖业务报表和看板的推广应用和分析生猪养殖行业数据。5.开展日常养殖场业务团队（采购、销售、养殖等）协作，培训用户使用系统，并监控系统性能及日常系统运维。任职要求：  1、教育背景：计算机、信息技术、供应链管理或相关专业本科及以上学历；有数字化转型或农业信息化相关证书者优先。  2、工作经验：3年以上生猪养殖行业数字化相关经验，必须具备实际的供应链系统或销售系统项目经验；熟悉生猪养殖全产业链（从饲养到销售）的业务流程，并有作为ITBP支持养殖业务IT项目的经验，支持接受出差安排。  专业技能：  3、熟练掌握供应链管理软件（如ERP、SCM系统）和销售管理系统（如CRM），有系统搭建/优化的实战经验。  4、 熟悉帆软报表，具备养殖行业或供应链帆软指标搭建、指标梳理经验。  5、具备养殖采购供应链系统运维经验，独立完成功能升级、流程分析和优化推广，有相关的需求分析、采购执行、库存管理和物流配送等搭建经验。  6、 具备生猪销售智能化场景建设经验，如数据分析工具（Python、SQL）、AI/ML应用、物联网集成等。  7、具备养殖业务ITBP能力：熟悉生猪养殖管理系统（如猪群管理软件、环境监控系统），能设计IT解决方案支持养殖生产优化，包括数据集成、自动化控制和业务流程数字化；  8、软技能：具备业务导向思维，能将技术与生猪养殖实际结合；良好的沟通协调能力，能跨部门协作，作为ITBP有效桥接IT与养殖业务；问题解决能力强，适应快节奏的农业环境。,越秀集团于1985年在香港成立。经过38年的改革发展，已形成以金融、房地产、交通基建、食品为核心产业，造纸等传统产业和未来可能进入的战略性新兴产业在内，横跨第、一、二、三产业的“4+X”现代产业体系...
MIS-INF-0005,高中信息技术老师,广州·南沙·珠江,8000-13000元,20-99人,上海明贤教育科技有限公司,在线教育,,岗位职责1.按照教学大纲，制定并实施信息技术教学计划，完成教学任务。2.运用多种教学方法和手段，激发学生学习兴趣，提高教学质量。3.指导学生进行信息技术实践操作，培养学生的动手能力和创新思维。4.负责学校计算机等信息技术设备的日常维护和管理。5.协助学校开展信息化建设工作，参与相关项目的实施和推广任职要求1.本科及以上学历，计算机科学、信息技术等相关专业。2.具备扎实的信息技术专业知识和技能，熟悉常见的软件和硬件。3.具有良好的沟通能力和团队合作精神，能够与学生和同事有效交流。4.持有相应的教师资格证书，有教学经验者优先。5.具备较强的学习能力，能不断更新知识，适应信息技术的快速发展。,
OTH-OTH-0002,APP聊天员,广州·白云·嘉禾,6000-12000元,其它,广州锐潼文化传播有限公司,20-99人,新媒体,工作内容：1、通过公司平台与用户进行连线沟通、互动；2、及时回复用户信息，维持好用户活跃度；3、定期回访老用户信息，稳固老用户，提升用户的好感度；4、遵守公司规定的服务标准和流程，确保服务质量。职责要求：1、善于沟通，语言表达清晰，懂得提供情绪价值；2、有对客户的服务意识，执行力强，有责任心，遵守公司的工作要求；3、有上进心，对工作内容保持热情。工作待遇:1、3天试岗带薪，试用期后综合薪资6000-12000；2、公司注重新人的成长，为新人提供带教，1对1的教学；3、工作时间灵活自由，团队氛围好。公司简介：主要经营互联网直播聊天服务，涵盖直播、视频、语音、聊天等多领域，凭借先进的技术和专业团队，我们在互联网方面具有独特的竞争优势。并且，公司拥有优秀的管理团队，在聊天领域拥有丰富的经验和深厚的专业背景。我们倡导“创新、合作、诚信”的企业文化，努力为员工创造一个充满活力和机会的工作环境，最后，我们期待你的加入。,我司成立于2024年12月9日，公司主营业务有新媒体推广，APP代运营，线上直播，线下舞台活动策划等。工作环境舒适，工作时间人性化管理，员工福利也比较齐全，会不定期提供下午茶，员工聚餐，外出旅游等安排??
DEV-BE-0001,对日软件开发工程师（赴日出差）,广州·南沙·南沙,1-2万,外商独资,得力欧系统软件（长春）有限公司,20-99人,IT服务,"职位描述 对日项目的业务设计,开发及测试   技术要求： 1、开发经验3年以上， 2、熟练掌握以上任意一种或多种开发语言和开发技能，如JAVA、.NET，C#、Andorid、IOS、PHP、python、C/C++等，(VB.NET经验者优先)； 3、熟练使用sqlserver,oracle; 4、日语听说读写2级以上相当的能力; 5、日语会话沟通无障碍; 6、有对日软件开发经验者优先; 7、有项目管理经验者优先; 8、可独立完成式样理解、开发、测试工作; 9、能够接受去日本出差。   岗位职责：    1、专科以上学历，计算机相关专业优先; 2、具有一定得日语功底和开发经验; 3、工作积极主动，善于沟通，具备团队合作与协调能力;    4、学习能力强，乐于钻研，勇于创新； 5、对行业发展、技术创新有热情，适应高速增长、需求不断更新迭代的业务环境；工作内容： 1、业务设计，开发，测试； 2、对日软件开发。",得力欧系统软件（长春）有限公司成立于2003年5月21日，坐落于长春市风景秀丽的东方广场。公司主要从事IT运维、系统集成、定制系统开发等工作。2011年8月7日，大连分公司正式成立，坐落于大连软件园区。2...
OTH-OTH-0003,技术开发经理/主管,广州·天河·新塘,9000-15000元,国企,广电城市服务,1000-9999人,物业管理,"岗位职责：1、负责协助公司信息化系统的前端与后端开发、功能优化、系统实施及上线运维等全生命周期工作；2、负责前期需求调研与系统设计，组织完成代码开发、测试及系统部署并编写相关技术手册；3、持续优化系统性能和可维护性，协助项目信息化服务需求过程中的开发实施交付和运维支撑；4、协助公司数字化系统管理及运维工作，协助推动AI、大数据、物联网等技术在现代城市服务场景的深度应用。任职要求： 1、思想政治素质好，作风正派、廉洁自律，具有良好的职业操守和个人品行，自觉维护企业的荣誉，身体健康，能适应高强度工作，服从工作安排； 2、本科及以上学历，计算机、软件工程、通信工程、电子信息工程、信息安全、数据挖掘等相关专业优先，3-5年相关领域工作经验； 3、linux和java基础扎实，熟练掌握Spring、Spring MVC、Spring Boot等技术开发，具有Spring Cloud、Dubbo等相关框架开发经验，精通Mysql、Redis、kafka等常见组建使用； 4、熟悉HTML5、CSS3、VUE.js、Node.js、Json、jQuery、Javascript等技术，注重代码复用，能够开发Web前端通用组件优先； 5、熟悉mysql，oracle等常用数据库，能够熟练编写sql语句； 6、掌握常用的开发工具，如idea,eclipse,maven,git,svn等。语句；掌握常用的开发工具，如idea,eclipse,maven,git,svn等。",广州广电城市服务集团股份有限公司成立于1998年，是广州市属国企广州数字科技集团重要成员企业。公司以“志在让城市更美好”为企业使命，实现了从基础物业管理服务、到高端物业管理服务、再到现代城市服务数...
MIS-INF-0006,信息化项目助理,广州·海珠·琶洲,6000-7000元·13薪,民营,广州仁合时创信息技术有限公司,500-999人,IT服务,岗位职责：?  1、驻场客户现场，负责客户与公司内部的双向沟通协调，精准传递项目需求、进度及反馈；?  2、跟进测试业务、服务器、系统等信息化相关项目立项流程，协助收集、整理项目所需材料，确保流程合规推进；?  3、协助对接客户及内部团队，协调测试环境、服务器资源配置等相关事宜，解决简单协作问题；?  4、负责项目立项、执行过程中的文档归档、进度跟踪，定期同步项目状态给客户及公司负责人。?  任职要求：?  1、大专及以上学历，计算机、信息管理相关专业优先，1年及以上工作经验；?  2、熟练使用 Office 办公软件，具备项目材料整理、基础文档撰写能力；?  3、具备较强的沟通协调能力和抗压性，能高效对接客户与内部团队；?  4、工作细心负责、执行力强，了解项目立项基本流程，有 IT 外包行业经验者优先。,广州仁合时创信息技术有限公司成立于2018年，是一家专注于“电力+互联网”技术服务的高新技术企业。我们致力于为电力行业提供高效、创新的一站式IT解决方案与技术服务，业务范围覆盖运维管理系统开发、自动化...
